id,produto,categoria,quantidade,valor,regiao,mes,data
1,Notebook Dell,Eletrônicos,2,4500.00,Sudeste,01,2024-01-15
2,Mouse Logitech,Periféricos,5,150.00,Sul,01,2024-01-18
3,Teclado Mecânico,Periféricos,3,450.00,Nordeste,01,2024-01-20
4,Monitor LG 27,Eletrônicos,1,1200.00,Sudeste,01,2024-01-22
5,Webcam HD,Periféricos,4,280.00,Centro-Oeste,02,2024-02-03
6,Notebook Lenovo,Eletrônicos,3,5200.00,Sul,02,2024-02-05
7,Headset Gamer,Periféricos,6,320.00,Norte,02,2024-02-10
8,SSD 1TB,Armazenamento,8,550.00,Sudeste,02,2024-02-12
9,HD Externo 2TB,Armazenamento,4,480.00,Sul,02,2024-02-15
10,Impressora HP,Eletrônicos,2,890.00,Nordeste,03,2024-03-01
11,Roteador Wi-Fi,Redes,5,350.00,Centro-Oeste,03,2024-03-05
12,Switch 8 Portas,Redes,3,280.00,Norte,03,2024-03-08
13,Placa de Vídeo RTX,Componentes,1,3500.00,Sudeste,03,2024-03-12
14,Processador i7,Componentes,2,2100.00,Sul,03,2024-03-15
15,Memória RAM 16GB,Componentes,6,480.00,Nordeste,04,2024-04-02
16,Fonte 650W,Componentes,4,450.00,Centro-Oeste,04,2024-04-05
17,Gabinete Gamer,Componentes,3,550.00,Norte,04,2024-04-10
18,Mousepad XXL,Periféricos,10,85.00,Sudeste,04,2024-04-12
19,Cadeira Gamer,Mobiliário,2,1800.00,Sul,04,2024-04-15
20,Mesa para PC,Mobiliário,1,950.00,Nordeste,05,2024-05-01
21,Suporte Monitor,Mobiliário,5,180.00,Centro-Oeste,05,2024-05-05
22,Notebook Asus,Eletrônicos,4,4800.00,Norte,05,2024-05-08
23,Tablet Samsung,Eletrônicos,3,2100.00,Sudeste,05,2024-05-12
24,Smartwatch,Eletrônicos,7,890.00,Sul,05,2024-05-15
25,Fone Bluetooth,Periféricos,8,220.00,Nordeste,06,2024-06-02
26,Caixa de Som,Periféricos,6,380.00,Centro-Oeste,06,2024-06-05
27,Microfone USB,Periféricos,4,450.00,Norte,06,2024-06-10
28,Cabo HDMI 3m,Cabos,15,45.00,Sudeste,06,2024-06-12
29,Cabo USB-C,Cabos,20,35.00,Sul,06,2024-06-15
30,Hub USB,Periféricos,7,120.00,Nordeste,07,2024-07-01
31,Leitor de Cartão,Periféricos,5,80.00,Centro-Oeste,07,2024-07-05
32,Pendrive 64GB,Armazenamento,12,95.00,Norte,07,2024-07-08
33,SSD M.2 500GB,Armazenamento,6,620.00,Sudeste,07,2024-07-12
34,Case para HD,Acessórios,8,75.00,Sul,07,2024-07-15
35,Cooler RGB,Componentes,10,85.00,Nordeste,08,2024-08-02
36,Pasta Térmica,Componentes,15,25.00,Centro-Oeste,08,2024-08-05
37,Ventoinha 120mm,Componentes,8,45.00,Norte,08,2024-08-10
38,LED RGB Strip,Acessórios,6,110.00,Sudeste,08,2024-08-12
39,Controle Xbox,Periféricos,5,420.00,Sul,08,2024-08-15
40,Controle PS5,Periféricos,4,480.00,Nordeste,09,2024-09-01
41,Webcam 4K,Periféricos,2,650.00,Centro-Oeste,09,2024-09-05
42,Microfone Condensador,Periféricos,3,890.00,Norte,09,2024-09-10
43,Interface de Áudio,Periféricos,2,1200.00,Sudeste,09,2024-09-12
44,Monitor Ultrawide,Eletrônicos,1,2800.00,Sul,09,2024-09-15
45,Notebook Gamer,Eletrônicos,2,7500.00,Nordeste,10,2024-10-02
46,PC Completo,Eletrônicos,1,8900.00,Centro-Oeste,10,2024-10-05
47,Impressora 3D,Eletrônicos,1,3200.00,Norte,10,2024-10-10
48,Scanner de Mesa,Eletrônicos,2,1100.00,Sudeste,10,2024-10-12
49,Projetor Full HD,Eletrônicos,1,2500.00,Sul,10,2024-10-15
50,Estabilizador,Acessórios,4,180.00,Nordeste,11,2024-11-01
51,No-Break 1200VA,Acessórios,3,650.00,Centro-Oeste,11,2024-11-05
52,Filtro de Linha,Acessórios,8,85.00,Norte,11,2024-11-08
53,Organizador Cabos,Acessórios,12,35.00,Sudeste,11,2024-11-12
54,Suporte Notebook,Acessórios,6,120.00,Sul,11,2024-11-15
55,Luz de Preenchimento,Acessórios,5,280.00,Nordeste,11,2024-11-18
56,Tripé para Câmera,Acessórios,4,350.00,Centro-Oeste,11,2024-11-20
57,Bolsa para Notebook,Acessórios,7,150.00,Norte,11,2024-11-22
58,Mochila Gamer,Acessórios,5,280.00,Sudeste,11,2024-11-23
59,Case para PC,Componentes,3,850.00,Sul,11,2024-11-24
60,Water Cooler,Componentes,2,650.00,Nordeste,11,2024-11-25
